pdb	RMSD_orig	RMSD_alt	pLDDT
1KNGA_078_1.pdb	3.246	8.829	56.908
2OKA_087_1.pdb	6.285	5.929	75.643
4EUY_003_1.pdb	5.404	5.344	89.693
2EC4_017_1.pdb	3.652	4.445	41.983
2EC4_052_1.pdb	3.726	4.393	48.749
4EUY_046_1.pdb	5.492	5.432	88.414
3OR5A_096_1.pdb	5.072	3.524	56.900
3GL3D_008_1.pdb	6.249	5.663	51.190
3KCMA_147_1.pdb	2.790	4.602	78.880
4NMUD_126_1.pdb	1.599	3.777	84.674
4NMUD_163_1.pdb	2.985	2.671	62.807
3KCMA_102_1.pdb	2.531	4.812	83.587
1KNGA_085_1.pdb	9.204	4.884	65.333
3GL5_002_1.pdb	9.551	11.867	87.349
3GL5_047_1.pdb	10.451	10.564	71.461
3GL3D_115_1.pdb	1.526	8.529	68.994
3OR5A_133_1.pdb	0.953	2.750	80.728
3GL3D_150_1.pdb	1.631	8.075	84.965
3OR5A_176_1.pdb	0.968	2.561	84.783
3C71A_056_1.pdb	11.020	7.364	58.850
2L57_026_1.pdb	2.196	3.199	79.680
3U5RE_090_1.pdb	1.389	5.864	70.957
1LU4_122_1.pdb	0.532	1.936	90.851
2LS5A_086_1.pdb	1.537	9.229	75.525
5UM7B_066_1.pdb	1.685	6.652	73.275
3C71A_013_1.pdb	1.705	12.472	78.344
2L57_063_1.pdb	10.882	13.406	36.739
1LU4_167_1.pdb	1.512	0.461	68.842
5UM7B_023_1.pdb	1.732	7.222	74.590
1KNGA_198_1.pdb	5.125	3.257	53.707
2OKA_122_1.pdb	6.980	6.006	75.554
1KNGA_120_1.pdb	4.065	5.022	53.082
1KNGA_165_1.pdb	6.149	5.476	59.024
3U5RE_028_1.pdb	1.946	6.889	63.302
3W8J_113_1.pdb	4.485	4.926	52.590
3W8J_156_1.pdb	5.867	6.672	41.034
6MZA_142_1.pdb	0.681	0.433	79.479
6MZA_107_1.pdb	0.985	0.535	64.854
4NMUD_083_1.pdb	4.115	4.273	63.838
3IOSA_156_1.pdb	0.746	1.971	89.774
3IOSA_113_1.pdb	1.179	1.751	85.315
1KNGA_158_1.pdb	6.244	5.429	46.982
3C71A_096_1.pdb	13.603	9.768	59.155
2LS5A_046_1.pdb	12.796	7.699	50.310
3U5RE_050_1.pdb	1.541	5.529	69.021
2LS5A_003_1.pdb	5.341	8.315	62.684
3U5RE_015_1.pdb	1.310	6.263	82.902
3PH9_023_1.pdb	10.428	11.297	62.798
4EUY_166_1.pdb	5.436	5.372	88.185
3C71A_1.pdb	1.063	12.463	94.768
4EUY_123_1.pdb	5.592	5.521	83.042
4NMUD_043_1.pdb	4.537	4.398	68.580
3KCMA_022_1.pdb	3.573	4.769	86.545
3KCMA_067_1.pdb	3.074	4.780	89.492
4NMUD_006_1.pdb	1.461	3.134	81.690
6MZA_182_1.pdb	0.820	0.645	67.877
3GL3D_128_1.pdb	7.592	5.233	43.054
3GL5_167_1.pdb	10.277	11.771	81.305
3GL5_122_1.pdb	10.030	11.783	80.755
3GL3D_070_1.pdb	1.379	8.332	68.047
3OR5A_056_1.pdb	1.063	2.831	78.464
3GL3D_035_1.pdb	2.389	8.637	75.938
3OR5A_013_1.pdb	4.558	4.014	46.575
4EUY_086_1.pdb	5.060	4.996	84.091
2OKA_002_1.pdb	7.030	5.988	71.381
2OKA_047_1.pdb	6.999	5.987	66.790
3C71A_133_1.pdb	10.136	7.605	53.807
5UM7B_103_1.pdb	1.941	8.553	65.313
1LU4_047_1.pdb	0.166	1.973	96.210
5UM7B_146_1.pdb	1.636	7.107	79.020
1LU4_002_1.pdb	1.069	1.312	63.598
3W8J_076_1.pdb	4.558	4.313	66.543
3U5RE_108_1.pdb	3.708	5.413	46.123
3W8J_033_1.pdb	4.190	4.012	78.678
1KNGA_045_1.pdb	1.772	7.286	87.670
3GL5_087_1.pdb	9.672	12.029	89.016
1KNGA_000_1.pdb	1.776	7.220	94.796
3IOSA_033_1.pdb	2.010	1.451	69.011
3KCMA_187_1.pdb	6.341	6.667	54.585
3IOSA_076_1.pdb	1.210	1.296	78.524
6MZA_027_1.pdb	0.737	0.598	79.611
6MZA_062_1.pdb	0.791	0.524	83.067
1LU4_158_1.pdb	0.564	1.826	88.553
5UM7B_059_1.pdb	2.887	10.335	53.613
2L57_019_1.pdb	2.013	2.767	78.628
3W8J_194_1.pdb	4.992	4.909	41.668
3C71A_069_1.pdb	6.840	11.441	48.310
3GL5_165_1.pdb	9.099	12.626	64.805
2OKA_158_1.pdb	6.657	5.954	75.551
3GL5_120_1.pdb	10.180	11.793	82.093
4NMUD_041_1.pdb	2.329	4.471	69.884
3KCMA_020_1.pdb	4.373	6.265	71.399
3KCMA_065_1.pdb	2.873	4.417	88.524
4NMUD_004_1.pdb	3.071	2.249	70.553
3OR5A_149_1.pdb	1.193	2.840	70.702
6MZA_180_1.pdb	0.696	0.670	63.705
3PH9_021_1.pdb	8.389	9.224	72.697
6MZA_138_1.pdb	0.691	0.428	81.138
4NMUD_1.pdb	1.272	3.620	93.715
3KCMA_098_1.pdb	2.820	4.496	87.488
4EUY_164_1.pdb	5.360	5.300	87.264
3IOSA_169_1.pdb	0.660	1.717	91.717
4EUY_121_1.pdb	5.452	5.374	83.929
3GL5_198_1.pdb	10.042	11.674	80.859
3W8J_169_1.pdb	9.799	10.793	41.084
3C71A_094_1.pdb	1.527	12.471	80.119
2LS5A_044_1.pdb	1.410	5.349	86.226
3U5RE_052_1.pdb	2.130	8.695	63.506
2LS5A_001_1.pdb	2.260	8.832	72.518
3U5RE_017_1.pdb	2.391	8.945	67.196
4EUY_079_1.pdb	5.352	5.295	87.997
3IOSA_031_1.pdb	0.684	1.615	92.491
3KCMA_185_1.pdb	2.943	4.464	88.135
2EC4_028_1.pdb	3.686	4.515	42.938
3IOSA_074_1.pdb	0.956	1.521	85.425
6MZA_025_1.pdb	0.669	0.466	74.897
6MZA_060_1.pdb	1.091	0.569	64.697
3W8J_074_1.pdb	5.925	7.088	45.588
3W8J_031_1.pdb	3.618	3.696	90.774
1KNGA_047_1.pdb	3.784	4.697	57.910
3GL5_085_1.pdb	9.932	11.960	85.304
1KNGA_002_1.pdb	1.885	7.010	78.718
3GL5_078_1.pdb	9.432	11.762	83.995
2OKA_000_1.pdb	8.189	7.469	88.439
2OKA_045_1.pdb	8.126	7.559	77.974
3C71A_131_1.pdb	3.330	11.723	62.080
5UM7B_101_1.pdb	1.734	5.128	66.722
1LU4_045_1.pdb	0.347	1.640	89.945
3W8J_089_1.pdb	3.681	3.799	72.419
5UM7B_144_1.pdb	4.172	8.761	55.041
1LU4_000_1.pdb	0.177	1.928	95.735
3GL3D_072_1.pdb	1.621	8.552	71.045
3OR5A_054_1.pdb	1.662	4.481	75.594
3GL3D_037_1.pdb	9.166	5.756	66.048
3OR5A_011_1.pdb	1.101	2.817	86.714
3IOSA_089_1.pdb	0.802	1.576	91.670
4EUY_084_1.pdb	5.493	5.431	87.412
4NMUD_119_1.pdb	3.183	3.214	66.534
3KCMA_178_1.pdb	3.501	5.037	81.370
2OKA_078_1.pdb	6.541	5.721	71.086
1KNGA_087_1.pdb	10.461	11.882	33.417
3GL5_000_1.pdb	9.437	12.360	93.013
3GL5_045_1.pdb	10.029	11.629	78.805
1LU4_078_1.pdb	0.220	1.865	93.217
3OR5A_069_1.pdb	1.090	2.807	86.808
3KCMA_145_1.pdb	4.081	5.065	75.108
4NMUD_124_1.pdb	2.488	3.433	67.676
4NMUD_161_1.pdb	1.400	3.574	88.429
3KCMA_100_1.pdb	4.443	4.453	54.675
3IOSA_049_1.pdb	0.866	1.814	88.207
4EUY_001_1.pdb	4.832	4.804	49.685
2EC4_015_1.pdb	3.646	4.444	43.106
2EC4_050_1.pdb	3.659	4.448	83.857
4EUY_044_1.pdb	5.420	5.352	88.607
3OR5A_094_1.pdb	1.101	2.943	85.904
6MZA_018_1.pdb	0.649	0.459	81.396
3U5RE_137_1.pdb	4.270	5.065	53.159
1LU4_085_1.pdb	0.435	2.098	90.120
3W8J_049_1.pdb	9.686	9.576	41.866
3U5RE_172_1.pdb	1.910	7.978	66.072
2OKA_085_1.pdb	7.011	5.990	67.159
6MZA_140_1.pdb	0.776	0.511	76.912
3OR5A_189_1.pdb	2.434	3.343	47.637
6MZA_105_1.pdb	0.928	0.581	75.001
3IOSA_154_1.pdb	0.866	1.788	83.655
4NMUD_081_1.pdb	3.085	3.689	66.997
4EUY_159_1.pdb	5.408	5.351	88.475
3IOSA_111_1.pdb	0.908	1.496	86.878
1KNGA_122_1.pdb	9.713	8.613	50.789
1KNGA_167_1.pdb	2.099	8.576	68.285
1LU4_198_1.pdb	0.243	1.576	92.175
3W8J_111_1.pdb	3.557	3.444	80.513
5UM7B_099_1.pdb	1.657	6.003	72.629
2LS5A_079_1.pdb	2.183	8.848	74.550
3W8J_154_1.pdb	7.972	10.284	37.054
3C71A_054_1.pdb	8.288	12.455	51.483
2L57_024_1.pdb	3.536	1.811	73.537
1LU4_120_1.pdb	2.176	0.574	69.089
3U5RE_092_1.pdb	4.186	8.337	59.819
2LS5A_084_1.pdb	1.186	5.976	86.862
5UM7B_064_1.pdb	1.752	6.556	72.204
3C71A_011_1.pdb	3.255	12.540	60.051
2L57_061_1.pdb	2.002	2.641	84.373
1LU4_165_1.pdb	1.643	0.513	66.786
5UM7B_021_1.pdb	1.660	7.080	79.416
3GL5_158_1.pdb	8.599	10.633	54.468
2OKA_120_1.pdb	7.058	5.912	65.356
3EMX_008_1.pdb	9.096	6.903	38.799
4NMUD_039_1.pdb	1.699	3.623	75.645
3KCMA_058_1.pdb	3.455	4.767	86.415
3GL3D_117_1.pdb	2.164	8.373	54.202
3OR5A_131_1.pdb	9.861	13.909	41.578
3GL3D_152_1.pdb	8.402	3.482	57.809
3OR5A_174_1.pdb	1.640	2.558	50.632
3W8J_028_1.pdb	3.606	3.787	84.662
3U5RE_113_1.pdb	1.797	8.367	66.577
3U5RE_156_1.pdb	2.080	6.623	61.652
4EUY_025_1.pdb	5.451	5.393	87.288
2EC4_031_1.pdb	3.416	4.415	86.205
2EC4_074_1.pdb	3.670	4.450	40.861
3IOSA_028_1.pdb	1.559	0.714	69.517
4EUY_060_1.pdb	5.499	5.441	90.538
3GL3D_096_1.pdb	5.544	5.529	51.482
6MZA_079_1.pdb	0.670	0.527	69.037
3OR5A_008_1.pdb	1.155	2.989	84.025
6MZA_084_1.pdb	0.712	0.536	77.282
3KCMA_161_1.pdb	4.103	3.972	60.912
4NMUD_100_1.pdb	3.292	4.810	55.395
3IOSA_090_1.pdb	0.965	1.297	68.976
4NMUD_145_1.pdb	3.365	3.324	65.577
3KCMA_124_1.pdb	2.719	4.502	84.072
3GL5_024_1.pdb	10.051	11.994	81.983
2OKA_019_1.pdb	6.708	6.091	76.689
3GL5_061_1.pdb	9.784	12.038	83.641
1LU4_019_1.pdb	0.234	1.953	92.473
3W8J_090_1.pdb	7.097	7.943	35.251
5UM7B_118_1.pdb	1.652	7.117	79.500
3C71A_128_1.pdb	1.362	12.524	87.429
3KCMA_039_1.pdb	2.993	4.363	88.873
4NMUD_058_1.pdb	3.122	3.914	62.610
3GL3D_133_1.pdb	1.335	8.647	87.458
3OR5A_115_1.pdb	6.444	5.258	42.119
6MZA_199_1.pdb	0.675	0.515	78.929
3GL3D_176_1.pdb	1.354	8.664	70.736
3OR5A_150_1.pdb	2.613	4.232	61.936
3C71A_070_1.pdb	4.894	12.590	58.380
2L57_000_1.pdb	2.127	3.195	58.410
1LU4_104_1.pdb	1.435	0.577	64.169
5UM7B_040_1.pdb	1.739	7.614	74.417
3C71A_035_1.pdb	3.237	13.149	71.007
2L57_045_1.pdb	6.146	10.845	44.556
1LU4_141_1.pdb	0.224	1.797	93.537
5UM7B_005_1.pdb	1.507	7.141	81.675
3GL5_139_1.pdb	9.943	11.712	80.702
2OKA_141_1.pdb	7.000	5.869	70.375
2OKA_104_1.pdb	6.357	5.895	77.340
1KNGA_106_1.pdb	2.132	7.027	82.697
3GL5_181_1.pdb	11.278	10.441	65.160
1KNGA_143_1.pdb	4.847	4.563	51.755
2LS5A_018_1.pdb	4.984	11.228	51.772
3W8J_135_1.pdb	4.126	4.163	71.193
3W8J_170_1.pdb	9.225	10.090	37.322
6MZA_164_1.pdb	0.653	0.494	75.486
6MZA_121_1.pdb	1.029	0.710	68.850
3PH9_038_1.pdb	9.980	10.845	61.687
4EUY_138_1.pdb	5.450	5.383	86.656
3IOSA_135_1.pdb	0.755	1.581	91.770
3KCMA_081_1.pdb	5.761	5.340	56.001
2LS5A_060_1.pdb	1.159	5.456	87.692
5UM7B_080_1.pdb	1.757	7.138	74.621
3U5RE_076_1.pdb	1.232	6.406	82.097
3W8J_108_1.pdb	8.527	8.667	38.945
2LS5A_025_1.pdb	11.770	6.041	37.348
1LU4_181_1.pdb	0.335	1.981	80.195
3U5RE_033_1.pdb	11.062	11.873	46.043
3PH9_005_1.pdb	8.581	9.292	69.524
3PH9_040_1.pdb	8.623	9.343	72.542
3OR5A_190_1.pdb	7.596	4.916	56.615
6MZA_159_1.pdb	0.897	0.615	70.598
3IOSA_108_1.pdb	0.843	1.680	88.649
4EUY_140_1.pdb	5.419	5.363	89.713
4EUY_105_1.pdb	5.546	5.474	89.555
4NMUD_098_1.pdb	1.524	3.502	85.630
4NMUD_065_1.pdb	1.491	3.587	86.227
3KCMA_004_1.pdb	3.823	5.059	74.447
3KCMA_041_1.pdb	3.896	5.626	66.766
4NMUD_020_1.pdb	1.405	3.529	85.748
3OR5A_128_1.pdb	1.318	3.333	75.029
5UM7B_038_1.pdb	1.624	7.012	79.325
2L57_078_1.pdb	3.755	1.739	74.608
3C71A_008_1.pdb	1.523	12.476	88.415
1LU4_139_1.pdb	1.194	2.287	69.651
3EMX_011_1.pdb	3.504	4.542	70.109
2OKA_139_1.pdb	8.347	7.701	79.174
3GL5_141_1.pdb	10.543	11.401	83.071
3GL5_104_1.pdb	10.045	11.589	77.485
1KNGA_183_1.pdb	4.740	5.064	59.591
3GL3D_056_1.pdb	7.456	4.098	49.731
3OR5A_070_1.pdb	0.982	2.962	84.646
3GL3D_013_1.pdb	12.619	8.199	61.061
3OR5A_035_1.pdb	2.157	3.029	45.371
3KCMA_119_1.pdb	3.443	4.712	83.658
2OKA_024_1.pdb	7.136	6.096	64.590
3GL5_019_1.pdb	9.969	12.266	82.847
2OKA_061_1.pdb	6.364	5.891	76.059
3C71A_115_1.pdb	3.176	11.588	67.835
5UM7B_125_1.pdb	2.508	8.928	66.790
1LU4_061_1.pdb	0.629	2.156	88.860
3U5RE_196_1.pdb	2.199	5.934	62.915
1LU4_024_1.pdb	1.391	2.124	66.217
3W8J_050_1.pdb	4.359	4.584	77.748
3W8J_015_1.pdb	9.214	8.956	39.492
1KNGA_063_1.pdb	7.663	5.264	48.813
1KNGA_026_1.pdb	5.862	7.048	55.524
3IOSA_015_1.pdb	0.761	1.689	88.829
2EC4_049_1.pdb	3.406	4.409	41.343
4EUY_018_1.pdb	5.462	5.393	87.744
3IOSA_050_1.pdb	0.649	1.750	91.799
6MZA_001_1.pdb	0.786	0.610	69.444
3OR5A_1.pdb	1.215	2.913	92.291
6MZA_044_1.pdb	0.924	0.669	70.633
1KNGA_102_1.pdb	5.586	3.373	46.993
3GL5_185_1.pdb	9.841	11.717	83.816
1KNGA_147_1.pdb	8.192	4.868	51.058
3W8J_131_1.pdb	10.090	10.847	48.685
2LS5A_059_1.pdb	1.212	5.657	85.989
3C71A_089_1.pdb	9.955	14.251	41.967
3W8J_174_1.pdb	3.547	3.754	77.244
6MZA_160_1.pdb	0.842	0.744	75.837
6MZA_125_1.pdb	3.033	2.836	57.763
3KCMA_085_1.pdb	2.737	4.470	88.057
3IOSA_131_1.pdb	1.024	1.922	89.888
3KCMA_078_1.pdb	2.825	4.862	83.157
4NMUD_019_1.pdb	1.541	3.554	81.561
3GL3D_137_1.pdb	1.522	8.659	84.594
3OR5A_111_1.pdb	3.340	1.922	62.963
3GL3D_172_1.pdb	8.846	5.229	47.765
3OR5A_154_1.pdb	3.465	4.762	56.211
3C71A_074_1.pdb	2.884	13.102	72.093
2L57_004_1.pdb	2.148	2.672	79.345
3W8J_189_1.pdb	6.239	6.955	42.441
1LU4_100_1.pdb	0.829	2.107	91.147
5UM7B_044_1.pdb	2.435	7.509	54.018
3C71A_031_1.pdb	11.268	8.355	50.804
2L57_041_1.pdb	2.094	2.680	81.664
1LU4_145_1.pdb	0.614	1.964	86.644
5UM7B_001_1.pdb	4.379	8.909	66.932
2OKA_145_1.pdb	6.963	5.895	59.453
3GL5_178_1.pdb	9.882	11.495	81.689
3EMX_028_1.pdb	7.121	11.284	40.568
2OKA_100_1.pdb	6.376	5.968	76.130
6MZA_080_1.pdb	0.943	0.754	67.975
3OR5A_049_1.pdb	1.901	3.708	72.934
4EUY_099_1.pdb	5.359	5.293	88.301
4NMUD_104_1.pdb	4.827	4.808	64.887
3KCMA_165_1.pdb	4.759	5.512	64.489
3KCMA_120_1.pdb	3.581	4.858	70.515
3IOSA_094_1.pdb	0.729	1.779	91.575
4NMUD_141_1.pdb	3.996	4.809	60.226
2OKA_058_1.pdb	6.905	5.896	76.262
3GL5_020_1.pdb	9.925	11.955	86.692
3GL5_065_1.pdb	5.989	12.294	64.488
3W8J_094_1.pdb	4.465	4.324	67.698
1LU4_058_1.pdb	1.925	4.841	66.099
3U5RE_117_1.pdb	11.928	8.939	51.902
3W8J_069_1.pdb	4.268	4.018	81.787
3U5RE_152_1.pdb	1.792	6.901	65.643
3GL5_098_1.pdb	10.275	11.577	81.815
2EC4_035_1.pdb	3.747	4.529	38.999
3IOSA_069_1.pdb	0.739	1.833	89.231
4EUY_021_1.pdb	6.209	6.174	87.353
4EUY_064_1.pdb	5.831	5.751	84.862
2EC4_070_1.pdb	3.646	4.453	40.662
3KCMA_198_1.pdb	9.864	10.054	38.244
3GL3D_092_1.pdb	4.260	7.345	61.136
6MZA_038_1.pdb	0.825	0.508	78.463
3W8J_054_1.pdb	6.733	8.122	37.246
1LU4_098_1.pdb	2.873	1.010	63.027
3W8J_011_1.pdb	10.833	11.487	35.265
2OKA_098_1.pdb	6.947	6.244	72.677
1KNGA_067_1.pdb	6.151	8.369	49.360
1KNGA_022_1.pdb	2.079	7.572	73.996
4EUY_059_1.pdb	5.692	5.610	51.177
3IOSA_011_1.pdb	0.715	1.635	91.528
3IOSA_054_1.pdb	0.974	2.086	84.421
2EC4_008_1.pdb	3.401	4.279	46.471
6MZA_005_1.pdb	0.731	0.464	82.291
3OR5A_089_1.pdb	1.998	3.699	57.919
6MZA_040_1.pdb	0.729	0.585	80.764
3GL3D_052_1.pdb	10.154	6.734	69.467
3OR5A_074_1.pdb	10.382	13.125	43.996
3GL3D_017_1.pdb	1.506	8.671	84.113
3OR5A_031_1.pdb	2.260	1.924	67.003
3KCMA_158_1.pdb	3.456	5.912	70.167
4NMUD_139_1.pdb	1.415	2.948	85.015
3GL5_058_1.pdb	10.265	11.618	83.690
2OKA_020_1.pdb	7.066	5.936	69.875
2OKA_065_1.pdb	6.701	6.063	75.648
3C71A_111_1.pdb	2.291	12.198	70.323
5UM7B_121_1.pdb	8.936	7.037	49.785
1LU4_065_1.pdb	0.226	1.837	93.537
3U5RE_192_1.pdb	1.619	6.516	69.715
1LU4_020_1.pdb	0.187	1.853	92.925
3KCMA_000_1.pdb	3.273	4.501	93.473
4NMUD_061_1.pdb	3.004	2.900	63.669
4NMUD_024_1.pdb	1.215	3.561	88.198
3KCMA_045_1.pdb	3.016	4.997	80.416
3OR5A_169_1.pdb	9.684	14.214	52.301
1LU4_178_1.pdb	0.307	1.888	90.820
5UM7B_079_1.pdb	1.793	6.645	76.208
2LS5A_099_1.pdb	6.839	5.120	47.009
2L57_039_1.pdb	2.123	2.794	80.009
3C71A_049_1.pdb	12.548	8.113	51.664
3EMX_015_1.pdb	2.141	3.945	76.295
3GL5_145_1.pdb	9.742	11.668	84.555
3GL5_100_1.pdb	9.574	11.806	86.948
1KNGA_187_1.pdb	2.145	5.259	62.144
3W8J_149_1.pdb	3.868	3.948	66.442
2LS5A_064_1.pdb	1.458	4.750	82.679
5UM7B_084_1.pdb	1.715	7.135	75.069
3U5RE_072_1.pdb	1.251	6.640	83.258
2LS5A_021_1.pdb	1.207	5.069	81.908
1LU4_185_1.pdb	1.393	0.808	60.955
3U5RE_037_1.pdb	1.292	5.846	81.939
3PH9_001_1.pdb	8.841	9.613	82.049
6MZA_118_1.pdb	0.656	0.552	74.388
3PH9_044_1.pdb	8.601	9.385	77.409
3OR5A_194_1.pdb	3.494	6.747	55.773
4EUY_144_1.pdb	5.515	5.454	88.632
3IOSA_149_1.pdb	1.124	2.058	87.810
4EUY_101_1.pdb	5.344	5.283	87.348
2OKA_004_1.pdb	7.014	5.923	77.287
3GL5_039_1.pdb	9.921	11.750	80.878
2OKA_041_1.pdb	6.944	5.696	77.168
3C71A_135_1.pdb	1.303	12.903	84.368
5UM7B_105_1.pdb	5.212	9.477	55.639
1LU4_041_1.pdb	0.873	2.044	86.921
5UM7B_140_1.pdb	1.875	7.521	68.691
1LU4_004_1.pdb	0.222	1.871	93.795
3GL3D_076_1.pdb	3.584	8.084	61.987
3OR5A_050_1.pdb	1.660	4.243	67.460
6MZA_099_1.pdb	0.689	0.472	79.184
3GL3D_033_1.pdb	9.194	5.686	40.737
3OR5A_015_1.pdb	1.078	2.701	77.061
4NMUD_158_1.pdb	1.673	2.991	81.077
3KCMA_139_1.pdb	5.536	6.482	59.984
4EUY_080_1.pdb	5.387	5.320	89.175
3KCMA_181_1.pdb	3.439	5.556	70.890
2EC4_069_1.pdb	3.643	4.423	76.475
3IOSA_035_1.pdb	0.740	1.705	91.127
4EUY_038_1.pdb	4.110	3.951	82.385
3IOSA_070_1.pdb	0.731	1.738	93.240
6MZA_021_1.pdb	0.779	0.490	81.441
6MZA_064_1.pdb	0.703	0.510	81.030
3W8J_070_1.pdb	7.324	8.976	38.662
3W8J_035_1.pdb	10.316	10.788	37.406
1KNGA_043_1.pdb	1.922	7.435	83.684
3GL5_081_1.pdb	10.131	11.888	83.972
1KNGA_006_1.pdb	1.841	7.515	91.311
3PH9_025_1.pdb	7.016	7.029	71.144
6MZA_179_1.pdb	0.825	0.641	72.516
3IOSA_128_1.pdb	0.768	1.575	88.518
4EUY_160_1.pdb	5.018	4.942	86.838
4EUY_125_1.pdb	5.424	5.355	90.311
3C71A_090_1.pdb	12.522	8.998	59.444
2LS5A_040_1.pdb	12.917	6.523	59.390
3U5RE_056_1.pdb	1.633	6.003	68.606
3W8J_128_1.pdb	4.223	4.207	78.610
2LS5A_005_1.pdb	15.673	12.304	45.003
3U5RE_013_1.pdb	1.244	6.156	78.712
5UM7B_018_1.pdb	7.575	6.638	44.491
2L57_058_1.pdb	2.320	3.260	45.698
3C71A_028_1.pdb	12.930	8.719	63.563
1LU4_119_1.pdb	2.854	10.713	60.300
3W8J_190_1.pdb	5.486	5.960	45.896
2OKA_119_1.pdb	7.079	5.968	71.756
3EMX_031_1.pdb	3.706	2.252	67.627
3GL5_161_1.pdb	9.950	11.451	75.367
3GL5_124_1.pdb	10.223	11.140	77.530
3KCMA_024_1.pdb	3.111	5.962	59.653
