Hit,Z-score,rmsd,lali,nres,%id,Description
4evm-A,16.8,2,126,138,21,THIOREDOXIN FAMILY PROTEIN                   
4gqc-D,16.8,2.2,134,161,22,THIOL PEROXIDASE                             
4eo3-A,16.7,2.2,131,321,22,BACTERIOFERRITIN COMIGRATORY PROTEIN/NADH DEH 
5imz-A,16.7,2.2,133,158,13,BACTERIOFERRITIN COMIGRATORY PROTEIN         
5iny-A,16.7,2.2,133,158,13,BACTERIOFERRITIN COMIGRATORY PROTEIN         
3hjp-A,16.7,2.2,132,158,14,"PEROXIREDOXIN, BACTERIOFERRITIN COMIGRATORY P "
4gqc-C,16.7,2.3,134,161,22,THIOL PEROXIDASE                             
3hjp-B,16.7,2.2,132,158,14,"PEROXIREDOXIN, BACTERIOFERRITIN COMIGRATORY P "
3kh9-A,16.6,2.2,130,155,22,THIOL:DISULFIDE INTERCHANGE PROTEIN DSBE     
3kcm-F,16.6,2,128,138,26,THIOREDOXIN FAMILY PROTEIN                   
5imf-A,16.6,2.2,133,158,13,BACTERIOFERRITIN COMIGRATORY PROTEIN         
3hjp-C,16.6,2.1,131,158,15,"PEROXIREDOXIN, BACTERIOFERRITIN COMIGRATORY P "
5imd-A,16.6,2.2,133,158,13,BACTERIOFERRITIN COMIGRATORY PROTEIN         
5imv-A,16.6,2.2,133,158,13,BACTERIOFERRITIN COMIGRATORY PROTEIN         
3k8n-A,16.6,2.1,130,153,22,CYTOCHROME C BIOGENESIS PROTEIN CCMG         
2yp6-A,16.6,2,126,143,19,THIOREDOXIN FAMILY PROTEIN                   
4hqs-A,16.6,2.4,127,135,20,THIOREDOXIN FAMILY PROTEIN                   
3kcm-B,16.5,1.9,127,141,26,THIOREDOXIN FAMILY PROTEIN                   
3kcm-D,16.5,1.9,128,142,26,THIOREDOXIN FAMILY PROTEIN                   
3kcm-A,16.5,1.8,127,139,26,THIOREDOXIN FAMILY PROTEIN                   
3kcm-E,16.5,1.9,128,141,26,THIOREDOXIN FAMILY PROTEIN                   
3kcm-C,16.5,2,128,139,26,THIOREDOXIN FAMILY PROTEIN                   
2yp6-D,16.5,2,126,143,19,THIOREDOXIN FAMILY PROTEIN                   
2yp6-B,16.5,2,126,143,19,THIOREDOXIN FAMILY PROTEIN                   
5ima-A,16.5,2.2,132,157,13,BACTERIOFERRITIN COMIGRATORY PROTEIN         
4eo3-B,16.5,2.3,131,321,22,BACTERIOFERRITIN COMIGRATORY PROTEIN/NADH DEH 
5imc-A,16.5,2.2,132,157,13,BACTERIOFERRITIN COMIGRATORY PROTEIN         
1z5y-E,16.5,2.1,124,136,21,THIOL:DISULFIDE INTERCHANGE PROTEIN DSBD     
6gc1-B,16.5,2.3,133,546,23,NHL REPEAT-CONTAINING PROTEIN 2              
3kh7-A,16.4,2.2,130,157,22,THIOL:DISULFIDE INTERCHANGE PROTEIN DSBE     
4grf-A,16.4,2,128,140,17,PUTATIVE THIOL-DISULFIDE OXIDOREDUCTASE      
2yp6-C,16.4,2,126,143,19,THIOREDOXIN FAMILY PROTEIN                   
2cx4-D,16.4,2.3,134,160,22,BACTERIOFERRITIN COMIGRATORY PROTEIN         
6gc1-C,16.2,2.3,133,551,23,NHL REPEAT-CONTAINING PROTEIN 2              
4hqz-B,16.2,2.1,126,145,19,THIOREDOXIN FAMILY PROTEIN                   
2b5y-A,16.2,2.1,130,148,18,YKUV PROTEIN                                 
4hqz-A,16.2,2.1,126,141,18,THIOREDOXIN FAMILY PROTEIN                   
6gc1-A,16.2,2.3,133,549,23,NHL REPEAT-CONTAINING PROTEIN 2              
6gc1-D,16.2,2.3,133,548,23,NHL REPEAT-CONTAINING PROTEIN 2              
2cx4-H,16.2,2.2,134,160,22,BACTERIOFERRITIN COMIGRATORY PROTEIN         
5cyy-B,16.2,2.1,133,328,20,PROTEIN DIPZ                                 
2a4v-A,16.1,2.3,134,156,10,PEROXIREDOXIN DOT5                           
3fw2-B,16.1,2.3,129,148,16,THIOL-DISULFIDE OXIDOREDUCTASE               
3lor-C,16.1,2.3,131,152,16,THIOL-DISULFIDE ISOMERASE AND THIOREDOXINS   
1xxu-D,16.1,2.2,133,153,17,HYPOTHETICAL PROTEIN RV2238C/MT2298          
2hyx-D,16.1,2.1,133,329,20,PROTEIN DIPZ                                 
3lor-D,16.1,2.2,130,150,15,THIOL-DISULFIDE ISOMERASE AND THIOREDOXINS   
2hyx-A,16.1,2.1,133,333,20,PROTEIN DIPZ                                 
3fkf-D,16,2.2,127,137,16,THIOL-DISULFIDE OXIDOREDUCTASE               
3w6g-N,16,2.3,133,214,17,PROBABLE PEROXIREDOXIN                       
3w6g-P,16,2.3,133,214,17,PROBABLE PEROXIREDOXIN                       
3w6g-S,16,2.3,133,214,17,PROBABLE PEROXIREDOXIN                       
3w6g-T,16,2.3,133,214,17,PROBABLE PEROXIREDOXIN                       
6iu1-H,16,2.3,133,214,16,PEROXIREDOXIN                                
6feu-E,16,2.2,133,215,17,PEROXIREDOXIN                                
6iu1-Q,16,2.3,133,214,16,PEROXIREDOXIN                                
6iu1-K,16,2.3,133,214,16,PEROXIREDOXIN                                
2cx4-E,16,2.1,131,161,21,BACTERIOFERRITIN COMIGRATORY PROTEIN         
1xxu-A,16,2.2,133,153,17,HYPOTHETICAL PROTEIN RV2238C/MT2298          
2hyx-B,16,2.1,133,328,20,PROTEIN DIPZ                                 
3fkf-C,16,2.2,126,140,16,THIOL-DISULFIDE OXIDOREDUCTASE               
3w6g-B,16,2.3,133,214,17,PROBABLE PEROXIREDOXIN                       
3w6g-Q,16,2.3,133,214,17,PROBABLE PEROXIREDOXIN                       
3w6g-F,16,2.3,133,214,17,PROBABLE PEROXIREDOXIN                       
3fw2-A,15.9,2.3,129,148,16,THIOL-DISULFIDE OXIDOREDUCTASE               
3w6g-C,15.9,2.3,133,214,17,PROBABLE PEROXIREDOXIN                       
3w6g-J,15.9,2.3,133,214,17,PROBABLE PEROXIREDOXIN                       
3w6g-H,15.9,2.3,133,214,17,PROBABLE PEROXIREDOXIN                       
3w6g-I,15.9,2.3,133,214,17,PROBABLE PEROXIREDOXIN                       
4ma9-A,15.9,2.2,134,163,11,ALKYL HYDROPEROXIDE REDUCTASE SUBUNIT C      
5b8b-D,15.9,2.3,134,164,11,"ALKYL HYDROPEROXIDE REDUCTASE SUBUNIT C,PEROX "
6iu1-C,15.9,2.3,133,214,16,PEROXIREDOXIN                                
3w6g-M,15.9,2.3,133,214,17,PROBABLE PEROXIREDOXIN                       
6iu1-P,15.9,2.3,133,215,16,PEROXIREDOXIN                                
6iu1-D,15.9,2.3,133,214,16,PEROXIREDOXIN                                
4x0x-D,15.9,2.2,133,154,17,PUTATIVE PEROXIREDOXIN MT2298                
6iu1-J,15.9,2.3,133,214,16,PEROXIREDOXIN                                
3erw-C,15.8,2.3,123,130,21,SPORULATION THIOL-DISULFIDE OXIDOREDUCTASE A 
3erw-A,15.8,2.4,125,134,21,SPORULATION THIOL-DISULFIDE OXIDOREDUCTASE A 
3fw2-C,15.8,2.4,129,148,16,THIOL-DISULFIDE OXIDOREDUCTASE               
5id2-A,15.8,2.3,134,154,16,PUTATIVE PEROXIREDOXIN RV2238C               
1xvw-A,15.8,2.2,134,158,16,HYPOTHETICAL PROTEIN RV2238C/MT2298          
3erw-G,15.8,2.4,125,133,21,SPORULATION THIOL-DISULFIDE OXIDOREDUCTASE A 
6iu1-N,15.8,2.3,133,214,16,PEROXIREDOXIN                                
6iu1-T,15.8,2.3,133,214,16,PEROXIREDOXIN                                
3erw-F,15.8,2.4,124,131,20,SPORULATION THIOL-DISULFIDE OXIDOREDUCTASE A 
5xbq-G,15.8,2.3,133,214,16,PEROXIREDOXIN                                
4xra-A,15.8,2.2,134,168,11,ALKYL HYDROPEROXIDE REDUCTASE SUBUNIT C      
5b8b-C,15.8,2.2,134,166,11,"ALKYL HYDROPEROXIDE REDUCTASE SUBUNIT C,PEROX "
5b8b-G,15.8,2.3,134,162,11,"ALKYL HYDROPEROXIDE REDUCTASE SUBUNIT C,PEROX "
3erw-D,15.8,2.4,125,134,21,SPORULATION THIOL-DISULFIDE OXIDOREDUCTASE A 
3lor-A,15.8,2.2,130,154,15,THIOL-DISULFIDE ISOMERASE AND THIOREDOXINS   
1xvw-B,15.8,2.1,133,160,16,HYPOTHETICAL PROTEIN RV2238C/MT2298          
4x0x-A,15.8,2.2,132,153,17,PUTATIVE PEROXIREDOXIN MT2298                
5cyy-C,15.8,2.1,133,333,20,PROTEIN DIPZ                                 
3ixr-A,15.8,2.3,134,159,13,BACTERIOFERRITIN COMIGRATORY PROTEIN         
5id2-D,15.8,2.2,133,155,16,PUTATIVE PEROXIREDOXIN RV2238C               
5xbr-A,15.8,2.3,133,211,16,PEROXIREDOXIN                                
6iu1-A,15.8,2.3,133,214,16,PEROXIREDOXIN                                
3hdc-A,15.7,2.1,128,150,23,THIOREDOXIN FAMILY PROTEIN                   
3ha9-A,15.7,2.1,122,161,20,UNCHARACTERIZED THIOREDOXIN-LIKE PROTEIN     
3fw2-D,15.7,2.3,129,148,16,THIOL-DISULFIDE OXIDOREDUCTASE               
3erw-E,15.7,2.4,125,134,21,SPORULATION THIOL-DISULFIDE OXIDOREDUCTASE A 
5id2-C,15.7,2.3,133,157,17,PUTATIVE PEROXIREDOXIN RV2238C               
2p31-A,15.7,2.4,132,155,14,GLUTATHIONE PEROXIDASE 7                     
6iu1-M,15.7,2.3,133,214,16,PEROXIREDOXIN                                
5id2-B,15.7,2.3,133,157,17,PUTATIVE PEROXIREDOXIN RV2238C               
2p31-B,15.7,2.4,132,155,14,GLUTATHIONE PEROXIDASE 7                     
5xbq-J,15.7,2.3,133,214,16,PEROXIREDOXIN                                
5xbq-H,15.7,2.3,133,214,16,PEROXIREDOXIN                                
4xrd-D,15.7,2.2,134,167,11,ALKYL HYDROPEROXIDE REDUCTASE SUBUNIT C      
5xbq-L,15.7,2.3,133,214,16,PEROXIREDOXIN                                
4xs8-C,15.7,2.3,134,163,10,ALKYL HYDROPEROXIDE REDUCTASE SUBUNIT C      
5uka-C,15.7,2.3,134,163,10,ALKYL HYDROPEROXIDE REDUCTASE SUBUNIT C      
4xrd-C,15.7,2.2,134,171,11,ALKYL HYDROPEROXIDE REDUCTASE SUBUNIT C      
4mab-A,15.7,2.3,134,165,11,ALKYL HYDROPEROXIDE REDUCTASE SUBUNIT C      
3lor-B,15.7,2.4,132,154,16,THIOL-DISULFIDE ISOMERASE AND THIOREDOXINS   
5b8b-E,15.7,2.3,134,166,11,"ALKYL HYDROPEROXIDE REDUCTASE SUBUNIT C,PEROX "
5b8b-I,15.7,2.2,134,163,11,"ALKYL HYDROPEROXIDE REDUCTASE SUBUNIT C,PEROX "
5b8b-B,15.7,2.3,134,163,11,"ALKYL HYDROPEROXIDE REDUCTASE SUBUNIT C,PEROX "
2b5x-A,15.7,2.2,130,148,18,YKUV PROTEIN                                 
2cvb-A,15.7,2.1,129,187,16,PROBABLE THIOL-DISULFIDE ISOMERASE/THIOREDOXI 
3erw-B,15.7,2.4,125,134,21,SPORULATION THIOL-DISULFIDE OXIDOREDUCTASE A 
6gww-A,15.7,2.3,133,215,17,PEROXIREDOXIN                                
6q5v-H,15.7,2.3,133,208,17,PEROXIREDOXIN                                
5xbq-A,15.7,2.3,133,214,16,PEROXIREDOXIN                                
2ywo-A,15.7,2.1,130,188,15,PROBABLE THIOL-DISULFIDE ISOMERASE/THIOREDOXI 
1xxu-B,15.7,2.3,134,153,16,HYPOTHETICAL PROTEIN RV2238C/MT2298          
2hyx-C,15.7,2.1,133,333,20,PROTEIN DIPZ                                 
4x0x-C,15.7,2.3,133,154,17,PUTATIVE PEROXIREDOXIN MT2298                
5cyy-D,15.7,2.2,133,331,20,PROTEIN DIPZ                                 
4xih-A,15.7,2.2,132,153,17,AHPC/TSA FAMILY PROTEIN                      
4x1u-A,15.7,2.2,132,157,16,PUTATIVE PEROXIREDOXIN MT2298                
4xih-B,15.7,2.2,132,153,17,AHPC/TSA FAMILY PROTEIN                      
3eyt-B,15.7,2.4,132,154,21,UNCHARACTERIZED PROTEIN SPOA0173             
5cyy-A,15.7,2.1,133,333,20,PROTEIN DIPZ                                 
3gkn-A,15.6,2.2,132,159,13,BACTERIOFERRITIN COMIGRATORY PROTEIN         
3eyt-A,15.6,2.4,132,156,21,UNCHARACTERIZED PROTEIN SPOA0173             
5xbq-D,15.6,2.3,133,214,16,PEROXIREDOXIN                                
5xbq-K,15.6,2.3,133,214,16,PEROXIREDOXIN                                
4xs8-D,15.6,2.3,134,164,10,ALKYL HYDROPEROXIDE REDUCTASE SUBUNIT C      
5uka-D,15.6,2.3,134,164,10,ALKYL HYDROPEROXIDE REDUCTASE SUBUNIT C      
4xrd-E,15.6,2.3,134,166,11,ALKYL HYDROPEROXIDE REDUCTASE SUBUNIT C      
5b8b-H,15.6,2.2,134,167,11,"ALKYL HYDROPEROXIDE REDUCTASE SUBUNIT C,PEROX "
5b8b-F,15.6,2.3,134,167,11,"ALKYL HYDROPEROXIDE REDUCTASE SUBUNIT C,PEROX "
5b8b-J,15.6,2.3,134,166,11,"ALKYL HYDROPEROXIDE REDUCTASE SUBUNIT C,PEROX "
3a2v-A,15.6,2.3,133,243,20,PROBABLE PEROXIREDOXIN                       
6krm-H,15.6,2.3,133,244,19,PEROXIREDOXIN                                
6q5v-A,15.6,2.3,133,208,17,PEROXIREDOXIN                                
6q5v-C,15.6,2.3,133,208,17,PEROXIREDOXIN                                
6q5v-G,15.6,2.3,133,208,17,PEROXIREDOXIN                                
6gww-E,15.6,2.3,133,215,17,PEROXIREDOXIN                                
6q5v-E,15.6,2.3,133,208,17,PEROXIREDOXIN                                
6q5v-B,15.6,2.3,133,208,17,PEROXIREDOXIN                                
6q5v-J,15.6,2.3,133,208,17,PEROXIREDOXIN                                
6q5v-F,15.6,2.3,133,208,17,PEROXIREDOXIN                                
6q5v-I,15.6,2.3,133,208,17,PEROXIREDOXIN                                
6q5v-D,15.6,2.3,133,208,17,PEROXIREDOXIN                                
1xxu-C,15.6,2.3,134,153,17,HYPOTHETICAL PROTEIN RV2238C/MT2298          
4x0x-B,15.6,2.3,134,154,16,PUTATIVE PEROXIREDOXIN MT2298                
4x1u-B,15.6,2.1,132,159,16,PUTATIVE PEROXIREDOXIN MT2298                
2cx4-A,15.6,2.3,132,161,20,BACTERIOFERRITIN COMIGRATORY PROTEIN         
4xs6-A,15.6,2.3,133,163,11,ALKYL HYDROPEROXIDE REDUCTASE SUBUNIT C      
5xbq-C,15.6,2.3,133,214,16,PEROXIREDOXIN                                
3eyt-D,15.5,2.5,132,155,21,UNCHARACTERIZED PROTEIN SPOA0173             
4xs8-A,15.5,2.3,134,165,10,ALKYL HYDROPEROXIDE REDUCTASE SUBUNIT C      
5uka-E,15.5,2.3,134,162,10,ALKYL HYDROPEROXIDE REDUCTASE SUBUNIT C      
3eyt-C,15.5,2.5,132,157,21,UNCHARACTERIZED PROTEIN SPOA0173             
5uka-A,15.5,2.3,134,165,10,ALKYL HYDROPEROXIDE REDUCTASE SUBUNIT C      
5y63-E,15.5,2.3,134,165,13,"ALKYL HYDROPEROXIDE REDUCTASE, C SUBUNIT     "
3tkr-F,15.5,2.3,134,197,15,PEROXIREDOXIN-4                              
3a2w-C,15.5,2.3,133,243,19,PROBABLE PEROXIREDOXIN                       
6feu-D,15.5,2.2,133,215,17,PEROXIREDOXIN                                
3fkf-A,15.5,2.3,127,141,17,THIOL-DISULFIDE OXIDOREDUCTASE               
3fkf-B,15.5,2.3,127,141,17,THIOL-DISULFIDE OXIDOREDUCTASE               
4xs8-E,15.5,2.3,134,162,10,ALKYL HYDROPEROXIDE REDUCTASE SUBUNIT C      
4xts-P,15.5,2.3,132,160,11,ALKYL HYDROPEROXIDE REDUCTASE SUBUNIT C      
3w6g-A,15.4,2.3,130,214,13,PROBABLE PEROXIREDOXIN                       
3w6g-R,15.4,2.3,130,214,13,PROBABLE PEROXIREDOXIN                       
3w6g-E,15.4,2.3,130,214,13,PROBABLE PEROXIREDOXIN                       
3tkr-A,15.4,2.3,134,197,15,PEROXIREDOXIN-4                              
4mh2-J,15.4,2.3,134,163,18,"THIOREDOXIN-DEPENDENT PEROXIDE REDUCTASE, MIT "
4xts-B,15.4,2.3,132,162,11,ALKYL HYDROPEROXIDE REDUCTASE SUBUNIT C      
4xts-N,15.4,2.3,132,160,11,ALKYL HYDROPEROXIDE REDUCTASE SUBUNIT C      
4xts-F,15.4,2.3,132,161,11,ALKYL HYDROPEROXIDE REDUCTASE SUBUNIT C      
4xs6-C,15.4,2.3,132,162,11,ALKYL HYDROPEROXIDE REDUCTASE SUBUNIT C      
5jcg-C,15.4,2.3,134,195,18,"THIOREDOXIN-DEPENDENT PEROXIDE REDUCTASE, MIT "
5jcg-D,15.4,2.3,134,195,18,"THIOREDOXIN-DEPENDENT PEROXIDE REDUCTASE, MIT "
4xts-O,15.4,2.3,132,160,11,ALKYL HYDROPEROXIDE REDUCTASE SUBUNIT C      
5ucx-D,15.4,2.3,134,195,18,"THIOREDOXIN-DEPENDENT PEROXIDE REDUCTASE, MIT "
3a2w-J,15.4,2.3,133,244,19,PROBABLE PEROXIREDOXIN                       
6gww-J,15.4,2.3,133,215,17,PEROXIREDOXIN                                
6gww-D,15.4,2.3,133,215,17,PEROXIREDOXIN                                
6gww-G,15.4,2.3,133,215,17,PEROXIREDOXIN                                
6gww-C,15.4,2.3,133,215,17,PEROXIREDOXIN                                
6gww-H,15.4,2.3,133,215,17,PEROXIREDOXIN                                
5b6n-C,15.4,2.2,133,217,17,PEROXIREDOXIN-6                              
3tkr-G,15.4,2.3,134,195,15,PEROXIREDOXIN-4                              
3ia1-A,15.4,2.3,126,143,25,THIO-DISULFIDE ISOMERASE/THIOREDOXIN         
1qmv-A,15.4,2.3,134,197,19,PEROXIREDOXIN-2                              
1zye-L,15.4,2.4,134,162,18,THIOREDOXIN-DEPENDENT PEROXIDE REDUCTASE     
3tkr-J,15.4,2.3,134,197,15,PEROXIREDOXIN-4                              
1zye-K,15.4,2.3,134,162,18,THIOREDOXIN-DEPENDENT PEROXIDE REDUCTASE     
1zye-A,15.4,2.4,134,162,18,THIOREDOXIN-DEPENDENT PEROXIDE REDUCTASE     
1qmv-H,15.4,2.3,134,197,19,PEROXIREDOXIN-2                              
1qmv-G,15.4,2.3,134,197,19,PEROXIREDOXIN-2                              
3tkp-A,15.4,2.3,134,197,15,PEROXIREDOXIN-4                              
3tkr-E,15.4,2.3,134,197,15,PEROXIREDOXIN-4                              
1zye-I,15.4,2.3,134,162,18,THIOREDOXIN-DEPENDENT PEROXIDE REDUCTASE     
1qmv-F,15.4,2.3,134,197,19,PEROXIREDOXIN-2                              
1xcc-C,15.4,2.3,134,218,14,1-CYS PEROXIREDOXIN                          
5c04-B,15.4,2.3,130,153,15,PUTATIVE PEROXIREDOXIN MT2298                
3u5r-E,15.4,1.9,129,183,19,UNCHARACTERIZED PROTEIN                      
3emp-B,15.4,2.3,132,162,11,ALKYL HYDROPEROXIDE REDUCTASE SUBUNIT C      
3u5r-H,15.4,2,129,184,19,UNCHARACTERIZED PROTEIN                      
2v41-C,15.4,2.3,133,216,13,PEROXIREDOXIN 6.                             
3tkp-E,15.4,2.3,134,196,15,PEROXIREDOXIN-4                              
1xcc-D,15.4,2.3,134,216,14,1-CYS PEROXIREDOXIN                          
5iox-A,15.3,2.3,129,155,12,BACTERIOFERRITIN COMIGRATORY PROTEIN         
3w6g-O,15.3,2.3,130,214,13,PROBABLE PEROXIREDOXIN                       
3w6g-D,15.3,2.4,130,214,13,PROBABLE PEROXIREDOXIN                       
2v1m-A,15.3,2.4,132,163,11,GLUTATHIONE PEROXIDASE                       
5xbr-B,15.3,2.3,130,210,12,PEROXIREDOXIN                                
4mh2-K,15.3,2.3,134,164,18,"THIOREDOXIN-DEPENDENT PEROXIDE REDUCTASE, MIT "
4mh2-B,15.3,2.4,134,165,18,"THIOREDOXIN-DEPENDENT PEROXIDE REDUCTASE, MIT "
4mh2-H,15.3,2.3,133,163,18,"THIOREDOXIN-DEPENDENT PEROXIDE REDUCTASE, MIT "
4xs6-B,15.3,2.3,132,163,11,ALKYL HYDROPEROXIDE REDUCTASE SUBUNIT C      
4xs6-D,15.3,2.3,132,162,11,ALKYL HYDROPEROXIDE REDUCTASE SUBUNIT C      
4xts-H,15.3,2.3,133,161,11,ALKYL HYDROPEROXIDE REDUCTASE SUBUNIT C      
4xts-Q,15.3,2.3,132,161,11,ALKYL HYDROPEROXIDE REDUCTASE SUBUNIT C      
4xts-K,15.3,2.4,133,160,11,ALKYL HYDROPEROXIDE REDUCTASE SUBUNIT C      
4xts-M,15.3,2.3,132,161,11,ALKYL HYDROPEROXIDE REDUCTASE SUBUNIT C      
4xts-L,15.3,2.3,132,162,11,ALKYL HYDROPEROXIDE REDUCTASE SUBUNIT C      
4xts-I,15.3,2.3,132,161,11,ALKYL HYDROPEROXIDE REDUCTASE SUBUNIT C      
4xts-D,15.3,2.3,132,161,11,ALKYL HYDROPEROXIDE REDUCTASE SUBUNIT C      
5ucx-F,15.3,2.3,134,195,18,"THIOREDOXIN-DEPENDENT PEROXIDE REDUCTASE, MIT "
5y63-A,15.3,2.4,134,167,13,"ALKYL HYDROPEROXIDE REDUCTASE, C SUBUNIT     "
5y63-B,15.3,2.3,134,166,13,"ALKYL HYDROPEROXIDE REDUCTASE, C SUBUNIT     "
6feu-B,15.3,2.3,133,215,17,PEROXIREDOXIN                                
5b6m-B,15.3,2.2,133,221,17,PEROXIREDOXIN-6                              
6gww-I,15.3,2.3,133,215,17,PEROXIREDOXIN                                
5ovq-D,15.3,2.2,133,218,17,PEROXIREDOXIN                                
5ovq-L,15.3,2.3,133,220,17,PEROXIREDOXIN                                
5ovq-B,15.3,2.3,133,221,17,PEROXIREDOXIN                                
1zye-E,15.3,2.4,134,162,18,THIOREDOXIN-DEPENDENT PEROXIDE REDUCTASE     
3tkq-D,15.3,2.4,134,165,15,PEROXIREDOXIN-4                              
1zye-H,15.3,2.4,134,162,18,THIOREDOXIN-DEPENDENT PEROXIDE REDUCTASE     
