No,Hit,Z-score,rmsd,lali,nres,%id,Description,,,,,,
37,2h1b-B,10.6,2.2,95,138,18,THIOL-DISULFIDE,OXIDOREDUCTASE,RESA,,,,
38,2puk-C,10.6,2.3,95,106,19,FERREDOXIN-THIOREDOXIN,"REDUCTASE,",CATALYTIC,CHAIN,,,
39,2trx-A,10.6,2.6,97,108,19,THIOREDOXIN,,,,,,
40,5hr0-A,10.6,2.5,96,108,20,THIOREDOXIN,,,,,,
41,2eio-D,10.6,2.6,97,107,19,THIOREDOXIN,1,,,,,
42,2h1g-B,10.6,2.4,97,137,16,THIOL-DISULFIDE,OXIDOREDUCTASE,RESA,,,,
43,6lur-E,10.6,2.5,96,211,19,THIOREDOXIN,"1,POLY(U)-BINDING-SPLICING",FACTOR,PUF,,,
44,2vm1-D,10.6,2.5,97,109,24,THIOREDOXIN,H,ISOFORM,1,,,
45,4tn8-A,10.6,2.6,97,103,12,THIOREDOXIN,,,,,,
46,1txx-A,10.6,2.5,96,108,19,PROTEIN,(THIOREDOXIN),,,,,
47,2fch-C,10.6,2.4,96,106,18,THIOREDOXIN,1,,,,,
48,1xw9-D,10.6,2.6,96,106,22,THIOREDOXIN,,,,,,
49,1xwc-A,10.6,2.6,97,106,22,THIOREDOXIN,,,,,,
50,1xwb-D,10.6,2.6,96,106,22,THIOREDOXIN,,,,,,
51,2h72-A,10.6,2.6,97,107,18,THIOREDOXIN,,,,,,
52,2fch-B,10.6,2.6,96,106,19,THIOREDOXIN,1,,,,,
53,1xwa-C,10.6,2.5,96,106,22,THIOREDOXIN,,,,,,
54,1zzy-B,10.6,2.6,97,106,19,THIOREDOXIN,1,,,,,
55,3hhv-A,10.6,2.5,96,103,22,THIOREDOXIN,(TRXA-2),,,,,
56,4xhm-B,10.6,2.5,96,109,21,THIOREDOXIN,(TRX-3),,,,,
57,2h71-A,10.6,2.6,97,107,18,THIOREDOXIN,,,,,,
58,3gnj-C,10.6,2.7,100,111,14,THIOREDOXIN,DOMAIN,PROTEIN,,,,
59,2h6y-A,10.6,2.6,97,107,18,THIOREDOXIN,,,,,,
60,2h19-A,10.5,2.4,96,138,18,THIOL-DISULFIDE,OXIDOREDUCTASE,RESA,,,,
61,2h1d-B,10.5,2.4,96,137,19,THIOL-DISULFIDE,OXIDOREDUCTASE,RESA,,,,
62,2h70-A,10.5,2.6,97,107,18,THIOREDOXIN,,,,,,
63,3dxb-E,10.5,2.6,97,210,19,THIOREDOXIN,N-TERMINALLY,FUSED,TO,PUF60(UHM),,
64,1st9-A,10.5,2.3,97,137,19,THIOL-DISULFIDE,OXIDOREDUCTASE,RESA,,,,
65,3dyr-B,10.5,2.7,98,107,17,THIOREDOXIN-1,,,,,,
66,2h73-A,10.5,2.5,96,108,19,THIOREDOXIN,,,,,,
67,2h76-A,10.5,2.5,96,108,19,THIOREDOXIN,,,,,,
68,2eir-A,10.5,2.7,97,107,16,THIOREDOXIN,1,,,,,
69,2h74-A,10.5,2.5,96,108,19,THIOREDOXIN,,,,,,
70,1fb6-B,10.5,2.6,96,104,19,THIOREDOXIN,M,,,,,
71,2i4a-A,10.5,2.5,95,107,18,THIOREDOXIN,,,,,,
72,2vm2-A,10.5,2.5,97,109,23,THIOREDOXIN,H,ISOFORM,1,,,
73,1fb0-B,10.5,2.5,96,104,19,THIOREDOXIN,M,,,,,
74,2eio-B,10.5,2.6,97,107,19,THIOREDOXIN,1,,,,,
75,1zzy-A,10.5,2.6,97,106,19,THIOREDOXIN,1,,,,,
76,4xhm-A,10.5,2.6,97,110,22,THIOREDOXIN,(TRX-3),,,,,
77,3dxb-H,10.5,2.7,98,211,18,THIOREDOXIN,N-TERMINALLY,FUSED,TO,PUF60(UHM),,
78,6gn9-A,10.5,2.5,95,102,14,THIOREDOXIN,,,,,,
79,1zcp-A,10.5,2.6,95,106,17,THIOREDOXIN,1,,,,,
80,3dxb-G,10.5,2.7,97,211,19,THIOREDOXIN,N-TERMINALLY,FUSED,TO,PUF60(UHM),,
81,2fch-A,10.5,2.6,96,106,19,THIOREDOXIN,1,,,,,
82,2ifq-C,10.5,2.7,96,105,18,THIOREDOXIN,,,,,,
83,1xwb-A,10.5,2.6,96,106,22,THIOREDOXIN,,,,,,
84,2h6z-A,10.5,2.6,97,108,18,THIOREDOXIN,,,,,,
85,2gzy-A,10.5,2.5,96,104,16,THIOREDOXIN,,,,,,
86,6lur-C,10.5,2.7,98,211,18,THIOREDOXIN,"1,POLY(U)-BINDING-SPLICING",FACTOR,PUF,,,
87,5hr1-C,10.5,2.6,96,106,19,THIOREDOXIN-1,,,,,,
88,2h1b-C,10.4,2.4,97,137,18,THIOL-DISULFIDE,OXIDOREDUCTASE,RESA,,,,
89,2yn1-B,10.4,2.7,97,105,19,LGPCA,THIOREDOXIN,,,,,
90,3tco-C,10.4,2.4,93,106,16,THIOREDOXIN,(TRXA-1),,,,,
91,2yj7-A,10.4,2.5,96,105,20,LPBCA,THIOREDOXIN,,,,,
92,4ulx-A,10.4,2.5,96,105,20,LPBCA-L89K,THIOREDOXIN,,,,,
93,2yj7-B,10.4,2.6,96,105,20,LPBCA,THIOREDOXIN,,,,,
94,5hr1-E,10.4,2.4,94,106,19,THIOREDOXIN-1,,,,,,
95,2eio-A,10.4,2.5,97,107,18,THIOREDOXIN,1,,,,,
96,2h75-A,10.4,2.6,96,107,19,THIOREDOXIN,,,,,,
97,5hr2-A,10.4,2.7,97,107,18,THIOREDOXIN,,,,,,
98,2fch-G,10.4,2.5,96,107,19,THIOREDOXIN,1,,,,,
99,6bkv-A,10.4,2.2,94,108,16,THIOREDOXIN,,,,,,
100,1st9-B,10.4,2.3,96,135,19,THIOL-DISULFIDE,OXIDOREDUCTASE,RESA,,,,
101,1w89-C,10.4,2.5,97,107,16,THIOREDOXIN,,,,,,
102,2vm1-A,10.4,2.5,97,110,23,THIOREDOXIN,H,ISOFORM,1,,,
103,2hxk-C,10.4,2.4,94,105,18,THIOREDOXIN,,,,,,
104,6h7k-E,10.4,2.6,96,107,17,THIOREDOXIN,1,,,,,
105,1tkd-B,10.4,2.4,94,105,19,DNA,(5'-,,,,,
106,1skw-B,10.4,2.4,94,105,19,5'-,,,,,,
107,1sks-B,10.4,2.4,94,105,19,5'-,,,,,,
108,4kca-B,10.4,2.7,97,637,19,"ENDO-1,5-ALPHA-L-ARABINANASE",,,,,,
109,3m9j-A,10.4,2.7,96,105,18,THIOREDOXIN,,,,,,
110,5g30-C,10.4,2.6,96,105,21,THIOREDOXIN,,,,,,
111,2f9s-A,10.4,2.3,96,138,18,THIOL-DISULFIDE,OXIDOREDUCTASE,RESA,,,,
112,2f9s-B,10.4,2.3,96,136,18,THIOL-DISULFIDE,OXIDOREDUCTASE,RESA,,,,
113,1nw2-A,10.4,2.6,97,105,19,THIOREDOXIN,,,,,,
114,1xwb-B,10.4,2.6,96,106,22,THIOREDOXIN,,,,,,
115,2fd3-B,10.4,2.7,98,108,17,THIOREDOXIN,1,,,,,
116,2eir-C,10.4,2.5,94,107,18,THIOREDOXIN,1,,,,,
117,2eir-D,10.4,2.7,97,107,18,THIOREDOXIN,1,,,,,
118,1tk5-B,10.4,2.7,96,105,19,5'-,,,,,,
119,6gd1-A,10.4,2.6,97,190,19,THIOREDOXIN,"1,ELAV-LIKE",PROTEIN,1,,,
120,5hr1-D,10.4,2.7,96,107,19,THIOREDOXIN-1,,,,,,
121,2eir-B,10.4,2.7,96,107,18,THIOREDOXIN,1,,,,,
122,2vm2-D,10.4,2.4,95,108,24,THIOREDOXIN,H,ISOFORM,1,,,
123,5ikn-M,10.4,2.5,96,105,18,DNA-DIRECTED,DNA,POLYMERASE,,,,
124,2ajq-B,10.4,2.6,95,105,19,DNA,PRIMER,,,,,
125,1nsw-A,10.4,2.6,97,105,16,THIOREDOXIN,,,,,,
126,5hr3-B,10.4,2.6,95,107,18,THIOREDOXIN,,,,,,
127,2fd3-A,10.4,2.6,97,108,18,THIOREDOXIN,1,,,,,
128,6h1y-A,10.4,2.7,98,107,18,THIOREDOXIN,"1,THIOREDOXIN","(TRXA-1),THIOREDOXIN",1,,,
129,1nw2-G,10.4,2.6,97,105,19,THIOREDOXIN,,,,,,
130,2h6x-A,10.3,2.6,97,108,18,THIOREDOXIN,,,,,,
131,3emx-B,10.3,2.4,99,124,19,THIOREDOXIN,,,,,,
132,3p2a-B,10.3,2.6,97,144,27,PUTATIVE,THIOREDOXIN-LIKE,PROTEIN,,,,
133,6h1y-B,10.3,2.5,96,107,19,THIOREDOXIN,"1,THIOREDOXIN","(TRXA-1),THIOREDOXIN",1,,,
134,3ziv-A,10.3,2.4,95,104,19,AECA,THIOREDOXIN,,,,,
135,6kil-A,10.3,2.5,96,113,16,THIOREDOXIN,,,,,,
136,2yn1-A,10.3,2.7,97,105,19,LGPCA,THIOREDOXIN,,,,,
137,6gnd-D,10.3,2.5,92,95,13,THIOREDOXIN,REDUCTASE,,,,,
138,6bkv-B,10.3,2.3,95,110,16,THIOREDOXIN,,,,,,
139,6p7e-E,10.3,2.4,94,105,19,DNA-DIRECTED,DNA,POLYMERASE,,,,
140,1zcp-D,10.3,2.7,97,106,16,THIOREDOXIN,1,,,,,
141,6lur-H,10.3,2.6,97,211,19,THIOREDOXIN,"1,POLY(U)-BINDING-SPLICING",FACTOR,PUF,,,
142,1sl2-B,10.3,2.4,94,105,19,5'-,,,,,,
143,1nw2-C,10.3,2.6,97,105,19,THIOREDOXIN,,,,,,
144,1auc-A,10.3,2.5,94,105,18,THIOREDOXIN,,,,,,
145,1nw2-E,10.3,2.6,97,105,19,THIOREDOXIN,,,,,,
146,1tk0-B,10.3,2.4,94,105,19,5'-,,,,,,
147,1x9s-B,10.3,2.4,94,105,19,5'-,,,,,,
148,3m9k-A,10.3,2.6,96,105,18,THIOREDOXIN,,,,,,
149,5ikn-K,10.3,2.8,97,105,18,DNA-DIRECTED,DNA,POLYMERASE,,,,
150,5g2z-A,10.3,2.6,96,105,20,THIOREDOXIN,,,,,,
151,4pol-A,10.3,2.7,97,106,18,THIOREDOXIN,,,,,,
152,1w4v-C,10.3,2.5,97,107,16,"THIOREDOXIN,",MITOCHONDRIAL,,,,,
153,6h7n-E,10.3,2.7,97,107,16,THIOREDOXIN,1,,,,,
154,6h7l-E,10.3,2.7,97,107,16,THIOREDOXIN,1,,,,,
155,4hu7-A,10.3,2.6,96,107,18,THIOREDOXIN-1,,,,,,
156,1uvz-C,10.3,2.5,97,107,16,THIOREDOXIN,,,,,,
157,1x9w-B,10.3,2.7,96,105,19,5'-,,,,,,
158,1sl1-B,10.3,2.7,96,105,19,5'-,,,,,,
159,6h7o-E,10.3,2.7,97,107,16,THIOREDOXIN,1,,,,,
160,1xwa-A,10.3,2.6,96,111,22,THIOREDOXIN,,,,,,
161,2tir-A,10.3,2.7,97,108,19,THIOREDOXIN,,,,,,
162,3qou-A,10.3,2.7,98,282,12,PROTEIN,YBBN,,,,,
163,1nsw-C,10.3,2.6,97,105,18,THIOREDOXIN,,,,,,
164,3emx-A,10.3,2.5,100,124,19,THIOREDOXIN,,,,,,
165,5g30-B,10.3,2.6,96,105,21,THIOREDOXIN,,,,,,
166,2trx-B,10.3,2.8,98,108,17,THIOREDOXIN,,,,,,
167,2h73-B,10.3,2.7,98,108,17,THIOREDOXIN,,,,,,
168,3gnj-B,10.3,2.5,96,108,19,THIOREDOXIN,DOMAIN,PROTEIN,,,,
169,3c71-A,10.2,2.5,96,140,20,THIOL-DISULFIDE,OXIDOREDUCTASE,RESA,,,,
170,4nmu-B,10.2,2.3,97,140,19,THIOL-DISULFIDE,OXIDOREDUCTASE,RESA,,,,
171,2h1a-A,10.2,2.3,96,136,18,THIOL-DISULFIDE,OXIDOREDUCTASE,RESA,,,,
172,3gnj-A,10.2,2.8,98,111,15,THIOREDOXIN,DOMAIN,PROTEIN,,,,
173,3vfi-A,10.2,2.5,95,104,15,THIOREDOXIN,,,,,,
174,3dyr-A,10.2,2.6,95,111,20,THIOREDOXIN-1,,,,,,
175,4x43-A,10.2,2.7,98,106,16,THIOREDOXIN-1,,,,,,
176,6ckp-A,10.2,2.6,98,119,20,THIOREDOXIN,,,,,,
177,4knd-A,10.2,2.6,96,105,21,THIOREDOXIN,,,,,,
178,4x43-C,10.2,2.7,98,107,16,THIOREDOXIN-1,,,,,,
179,2eio-C,10.2,2.6,96,107,19,THIOREDOXIN,1,,,,,
180,2voc-B,10.2,2.7,97,104,14,THIOREDOXIN,,,,,,
181,4x43-B,10.2,2.7,98,108,16,THIOREDOXIN-1,,,,,,
182,2eiq-B,10.2,2.6,95,107,19,THIOREDOXIN,1,,,,,
183,3dxb-A,10.2,2.6,97,214,19,THIOREDOXIN,N-TERMINALLY,FUSED,TO,PUF60(UHM),,
184,3dxb-F,10.2,2.6,97,211,19,THIOREDOXIN,N-TERMINALLY,FUSED,TO,PUF60(UHM),,
185,1skr-B,10.2,2.5,95,105,19,5'-D(*CP*GP*AP*AP*AP*AP*CP*GP*AP*C*GP*GP*CP*CP*AP,,,,,,
186,1xob-A,10.2,2.6,97,108,18,THIOREDOXIN,,,,,,
187,5hr1-A,10.2,2.5,95,107,19,THIOREDOXIN-1,,,,,,
188,6esx-B,10.2,2.7,97,110,22,THIOREDOXIN,1,,,,,
189,6lur-D,10.2,2.6,97,213,19,THIOREDOXIN,"1,POLY(U)-BINDING-SPLICING",FACTOR,PUF,,,
190,1eru-A,10.2,2.5,94,105,18,THIOREDOXIN,,,,,,
191,2vm2-B,10.2,2.5,96,107,21,THIOREDOXIN,H,ISOFORM,1,,,
192,1erw-A,10.2,2.4,94,105,16,THIOREDOXIN,,,,,,
193,6h7o-F,10.2,2.5,96,107,17,THIOREDOXIN,1,,,,,
194,2vlu-A,10.2,2.6,97,111,21,THIOREDOXIN,H,ISOFORM,2,,,
195,2vim-A,10.2,2.6,95,104,22,THIOREDOXIN,,,,,,
196,1nw2-D,10.2,2.4,95,105,19,THIOREDOXIN,,,,,,
197,1t8e-B,10.2,2.4,94,106,19,5'-,,,,,,
198,1tk8-B,10.2,2.4,94,105,19,5'-,,,,,,
199,1t7p-B,10.2,2.4,94,105,19,DNA,(5'-D(P*GP*CP*CP*AP*GP*TP*GP*CP*CP*AP*2DA)-,,,,,
200,2vlv-A,10.2,2.6,97,111,21,THIOREDOXIN,H,ISOFORM,2,,,
201,5g2z-B,10.2,2.7,96,105,20,THIOREDOXIN,,,,,,
202,4pok-A,10.2,2.6,96,106,18,THIOREDOXIN,,,,,,
203,4pok-B,10.2,2.7,96,106,18,THIOREDOXIN,,,,,,
204,5dbq-A,10.2,2.7,96,106,21,THIOREDOXIN,,,,,,
205,2ifq-B,10.2,2.7,96,105,18,THIOREDOXIN,,,,,,
206,5j7d-B,10.2,2.7,96,106,10,DESIGNED,THIOREDOXIN,DF106,,,,
207,1tho-A,10.2,2.6,97,109,19,THIOREDOXIN,,,,,,
208,4ll4-B,10.2,2.6,96,105,17,THIOREDOXIN-INTERACTING,PROTEIN,,,,,
209,4oo4-B,10.2,2.6,95,105,18,THIOREDOXIN,,,,,,
210,5hr1-F,10.2,2.7,96,106,19,THIOREDOXIN-1,,,,,,
211,6p7e-F,10.2,2.6,94,105,19,DNA-DIRECTED,DNA,POLYMERASE,,,,
212,6h7j-E,10.2,2.7,96,106,17,THIOREDOXIN,1,,,,,
213,6h7m-E,10.2,2.8,98,107,16,THIOREDOXIN,1,,,,,
214,3qdn-A,10.2,2.6,98,285,12,PUTATIVE,THIOREDOXIN,PROTEIN,,,,
215,3gnj-D,10.2,2.4,96,110,17,THIOREDOXIN,DOMAIN,PROTEIN,,,,
216,5hr3-A,10.2,2.6,97,107,18,THIOREDOXIN,,,,,,
217,2ppt-B,10.2,2.7,98,143,26,THIOREDOXIN-2,,,,,,
218,1x9m-B,10.2,2.5,95,105,19,5'-,,,,,,
219,3p2a-C,10.2,2.7,98,141,28,PUTATIVE,THIOREDOXIN-LIKE,PROTEIN,,,,
220,5hr0-B,10.2,2.6,94,107,20,THIOREDOXIN,,,,,,
221,4nmu-D,10.1,2.3,96,139,19,THIOL-DISULFIDE,OXIDOREDUCTASE,RESA,,,,
222,3or5-A,10.1,2.4,100,145,29,THIOLDISULFIDE,INTERCHANGE,"PROTEIN,",THIOREDOXIN,,,
223,3c73-A,10.1,2.3,96,136,19,THIOL-DISULFIDE,OXIDOREDUCTASE,RESA,,,,
224,5e4w-B,10.1,2.4,95,108,19,THIOREDOXIN-1,,,,,,
225,3nof-A,10.1,2.6,96,106,17,THIOREDOXIN,TRXC,,,,,
226,3p2a-A,10.1,2.6,97,145,27,PUTATIVE,THIOREDOXIN-LIKE,PROTEIN,,,,
227,4hu7-B,10.1,2.6,96,104,17,THIOREDOXIN-1,,,,,,
228,4knd-B,10.1,2.7,95,104,21,THIOREDOXIN,,,,,,
229,4kca-A,10.1,2.5,96,635,18,"ENDO-1,5-ALPHA-L-ARABINANASE",,,,,,
230,5hr1-B,10.1,2.5,95,107,19,THIOREDOXIN-1,,,,,,
231,2ipa-A,10.1,2.4,94,104,17,THIOREDOXIN,,,,,,
232,2fch-F,10.1,2.4,94,106,19,THIOREDOXIN,1,,,,,
233,2hsh-A,10.1,2.5,94,105,18,THIOREDOXIN,,,,,,
234,1w89-A,10.1,2.3,97,110,15,THIOREDOXIN,,,,,,
235,1erv-A,10.1,2.5,94,105,18,THIOREDOXIN,,,,,,
236,2hxk-B,10.1,2.7,96,105,18,THIOREDOXIN,,,,,,
237,1ert-A,10.1,2.5,94,105,18,THIOREDOXIN,,,,,,
238,6h7k-F,10.1,2.6,96,108,17,THIOREDOXIN,1,,,,,
239,1nw2-F,10.1,2.6,97,105,19,THIOREDOXIN,,,,,,
240,1zyq-B,10.1,2.4,94,105,19,5'-,,,,,,
241,2vlt-A,10.1,2.7,98,111,20,THIOREDOXIN,H,ISOFORM,2,,,
242,1nw2-H,10.1,2.5,96,105,19,THIOREDOXIN,,,,,,
243,2vlu-B,10.1,2.4,96,112,21,THIOREDOXIN,H,ISOFORM,2,,,
244,1keb-B,10.1,2.5,96,108,18,THIOREDOXIN,1,,,,,
245,4v2m-B,10.1,2.7,96,105,21,THIOREDOXIN,,,,,,
246,3m9j-B,10.1,2.6,96,105,18,THIOREDOXIN,,,,,,
247,4v2n-B,10.1,2.7,96,105,21,THIOREDOXIN,,,,,,
248,4aj7-A,10.1,2.7,96,105,21,THIOREDOXIN,,,,,,
249,4aj6-B,10.1,2.7,96,105,21,THIOREDOXIN,,,,,,
250,4aj7-B,10.1,2.7,96,105,21,THIOREDOXIN,,,,,,
251,5g30-D,10.1,2.6,96,105,21,THIOREDOXIN,,,,,,
252,4pol-B,10.1,2.7,96,106,18,THIOREDOXIN,,,,,,
253,4pom-B,10.1,2.7,96,107,18,THIOREDOXIN,,,,,,
254,5dbq-B,10.1,2.7,96,106,20,THIOREDOXIN,,,,,,
255,3zzx-A,10.1,2.7,96,105,21,THIOREDOXIN,,,,,,
256,5j7d-F,10.1,2.7,96,106,10,DESIGNED,THIOREDOXIN,DF106,,,,
257,2vlv-B,10.1,2.5,97,113,21,THIOREDOXIN,H,ISOFORM,2,,,
258,4oo5-A,10.1,2.5,94,105,18,THIOREDOXIN,,,,,,
259,4ll1-B,10.1,2.6,96,105,17,THIOREDOXIN-INTERACTING,PROTEIN,,,,,
260,5e4w-A,10.1,2.7,97,109,18,THIOREDOXIN-1,,,,,,
261,1xoa-A,10.1,2.7,97,108,20,THIOREDOXIN,,,,,,
262,2l59-A,10.1,2.5,98,116,15,THIOREDOXIN,,,,,,
263,4ll4-D,10.1,2.7,96,105,17,THIOREDOXIN-INTERACTING,PROTEIN,,,,,
264,3p2a-D,10.1,2.7,98,142,28,PUTATIVE,THIOREDOXIN-LIKE,PROTEIN,,,,
265,4oo4-A,10.1,2.7,96,105,18,THIOREDOXIN,,,,,,
266,4hua-A,10.1,2.6,97,108,15,THIOREDOXIN-1,,,,,,
267,2puk-G,10.1,2.2,94,105,18,FERREDOXIN-THIOREDOXIN,"REDUCTASE,",CATALYTIC,CHAIN,,,
268,1w89-D,10.1,2.4,96,109,16,THIOREDOXIN,,,,,,
269,3dxb-D,10.1,2.7,97,216,19,THIOREDOXIN,N-TERMINALLY,FUSED,TO,PUF60(UHM),,
270,4nmu-C,10,2.1,95,147,19,THIOL-DISULFIDE,OXIDOREDUCTASE,RESA,,,,
271,4nmu-A,10,2.1,95,147,19,THIOL-DISULFIDE,OXIDOREDUCTASE,RESA,,,,
272,1su9-A,10,2.2,95,137,19,THIOL-DISULFIDE,OXIDOREDUCTASE,RESA,,,,
273,1su9-B,10,2.5,97,136,19,THIOL-DISULFIDE,OXIDOREDUCTASE,RESA,,,,
274,2h19-B,10,2.5,97,136,18,THIOL-DISULFIDE,OXIDOREDUCTASE,RESA,,,,
275,2h1d-A,10,2.3,96,136,19,THIOL-DISULFIDE,OXIDOREDUCTASE,RESA,,,,
276,2h76-B,10,2.5,95,107,20,THIOREDOXIN,,,,,,
277,4hu9-A,10,2.7,98,108,16,THIOREDOXIN-1,,,,,,
278,2h74-B,10,2.7,97,108,20,THIOREDOXIN,,,,,,
279,2h71-B,10,2.7,97,107,20,THIOREDOXIN,,,,,,
280,6esx-A,10,2.6,96,111,22,THIOREDOXIN,1,,,,,
281,2h1g-A,10,2.3,96,136,17,THIOL-DISULFIDE,OXIDOREDUCTASE,RESA,,,,
282,6esx-C,10,2.6,96,111,22,THIOREDOXIN,1,,,,,
283,6p7e-G,10,2.7,96,105,19,DNA-DIRECTED,DNA,POLYMERASE,,,,
284,1f6m-H,10,2.7,97,108,16,THIOREDOXIN,REDUCTASE,,,,,
285,2oe3-B,10,2.6,94,104,21,THIOREDOXIN-3,,,,,,
286,3e3e-A,10,2.6,95,105,17,THIOREDOXIN,,,,,,
287,3d21-A,10,2.6,97,111,24,THIOREDOXIN,H-TYPE,,,,,
288,1aiu-A,10,2.5,94,105,18,THIOREDOXIN,,,,,,
289,6h7m-F,10,2.8,98,107,16,THIOREDOXIN,1,,,,,
290,6q6u-A,10,2.6,96,111,22,THIOREDOXIN,H-TYPE,,,,,
291,2iiy-A,10,2.5,94,105,18,THIOREDOXIN,,,,,,
292,1sl0-D,10,2.4,94,105,19,5'-,,,,,,
293,2vlt-B,10,2.6,97,110,21,THIOREDOXIN,H,ISOFORM,2,,,
294,6i19-B,10,2.6,96,111,23,THIOREDOXIN,H-TYPE,,,,,
295,6q47-A,10,2.5,96,111,23,THIOREDOXIN,H-TYPE,,,,,
296,2vm1-C,10,2.5,97,113,24,THIOREDOXIN,H,ISOFORM,1,,,
297,1sl0-B,10,2.4,94,105,19,5'-,,,,,,
298,4v2m-A,10,2.7,96,105,21,THIOREDOXIN,,,,,,
299,4v2l-B,10,2.7,96,105,21,THIOREDOXIN,,,,,,
300,3zzx-B,10,2.7,96,105,21,THIOREDOXIN,,,,,,
301,4v2l-A,10,2.7,96,105,21,THIOREDOXIN,,,,,,
302,5g31-A,10,2.5,94,105,21,THIOREDOXIN,,,,,,
303,5g30-A,10,2.7,96,105,21,THIOREDOXIN,,,,,,
304,2ifq-A,10,2.5,94,105,18,THIOREDOXIN,,,,,,
305,2hxk-A,10,2.5,94,105,18,THIOREDOXIN,,,,,,
306,1w4v-D,10,2.3,93,109,16,"THIOREDOXIN,",MITOCHONDRIAL,,,,,
307,1uvz-A,10,2.4,97,110,15,THIOREDOXIN,,,,,,
308,2gzz-A,10,2.6,96,104,16,THIOREDOXIN,,,,,,
309,6ibl-B,10,2.7,97,391,16,THIOREDOXIN,"1,BETA-1",ADRENERGIC,RECEPTOR,,,
310,4ll1-D,10,2.7,96,105,17,THIOREDOXIN-INTERACTING,PROTEIN,,,,,
311,1keb-A,10,2.7,97,108,16,THIOREDOXIN,1,,,,,
312,4pob-B,10,2.6,96,105,20,THIOREDOXIN,,,,,,
313,2oe1-A,10,2.5,95,106,20,THIOREDOXIN-3,,,,,,
314,1nw2-B,10,2.7,97,105,19,THIOREDOXIN,,,,,,
315,1w89-E,10,2.3,96,110,16,THIOREDOXIN,,,,,,
316,2yoi-A,10,2.5,96,106,20,LECA,THIOREDOXIN,,,,,
317,1uvz-B,10,2.5,97,110,15,THIOREDOXIN,,,,,,
318,6h7n-F,10,2.8,97,107,16,THIOREDOXIN,1,,,,,
319,2h1b-A,9.9,2.5,97,138,18,THIOL-DISULFIDE,OXIDOREDUCTASE,RESA,,,,
320,2h1a-B,9.9,2.2,95,139,18,THIOL-DISULFIDE,OXIDOREDUCTASE,RESA,,,,
321,2h6x-B,9.9,2.7,97,108,20,THIOREDOXIN,,,,,,
322,2yoi-B,9.9,2.7,96,106,20,LECA,THIOREDOXIN,,,,,
323,1f6m-C,9.9,2.6,97,108,16,THIOREDOXIN,REDUCTASE,,,,,
